,distance_af_in_pr,distance_af_in_vl,distance_af_ex_pr,distance_af_ex_vl,distance_af_in_pr2,distance_af_in_vl2,distance_af_ex_pr2,distance_af_ex_vl2
Kiribati,0.2930377968505581,0.15942750256848456,,,0.284248953844839,0.1633795260552531,,
Kuwait,0.015688775100764118,0.053688937736763934,-0.03407103086574993,-0.03182786317312711,0.014028239344694212,0.04712451202669051,-0.03902809684894698,-0.02711340885707276
Kyrgyzstan,0.0005769188102748439,-0.011290721491287299,0.026855650482070496,0.013258135259609278,-0.002552896504110192,-0.007499990109372018,0.019963682298294948,0.016659372260348946
Latvia,-0.022146742919149885,-0.027960802619169906,-0.004744694572373366,-0.0035417830301787004,-0.02193011410797067,-0.027398279790397308,-0.003976695861287768,-0.004783144412584166
Lebanon,0.01919533517700664,0.004081743184750292,0.0016937379758680574,0.0007792121055506039,0.01770005686899402,0.006561519843212206,0.002590605833914003,-0.0008831723376682121
Libya,0.08429303056855286,0.13308220024913545,0.021237564354767546,0.04411450831176577,0.09016350792116076,0.12885268235080738,0.02287342693854637,0.03928700016255838
Lithuania,-0.022025104418198695,-0.021171239432332522,0.000634180809121674,0.0011303378434124667,-0.01944773624795646,-0.022128084007517812,0.00013964967047029112,0.0014378082491451876
Luxembourg,-0.018522473551691513,-0.025599603988769128,-0.0011030578214414426,0.005027056087528936,-0.01599074600960321,-0.025984773050266294,-0.004419079319707134,0.0063099668324099805
Macedonia,0.014869905039009196,0.0004997092361867311,0.04934321600746231,0.04121848539999254,0.01241804172671861,0.002963399657887858,0.047278837811117996,0.043639240679522295
Madagascar,0.03038786915096255,0.033425007262406214,-0.014294537461242075,0.022559629690398937,0.03065789129181341,0.03416613806240677,-0.0196182754971986,0.02528634815901817
Malawi,-0.004051974580985273,0.005347364974714202,-0.020739915103283393,-0.006104518425309411,-0.005096775411203863,0.009126118303421037,-0.018700975561358617,-0.010519613051170995
Malaysia,0.014093804327884594,0.018954333921857008,-0.0004697716079932562,-0.013791776947726046,0.015698527510413004,0.017204860819919426,-0.000674196704127511,-0.012764136704222325
Maldives,0.033634859147150094,0.029054386730861678,0.009845433976551934,-0.032104588085208774,0.032001429001092555,0.03077947756300538,-0.005821951455713371,-0.009840225230863345
Mali,0.012569760714627317,0.00302475428952722,-0.0010987731152544476,-0.07132687469961528,0.014695072570564547,0.001353375146583418,-0.0023458579253775916,-0.06607074795946229
Malta,-0.015906672841840247,-0.006335746193251258,-0.009810837917509784,-0.03429386139688669,-0.013303813048334546,-0.006988066230347469,-0.005059516599917798,-0.04564020056592785
Martinique,0.019375863307312734,0.024990356890344914,-0.07963889824217854,-0.18506388378712765,0.019076287820837267,0.021617201689946457,-0.14766939190369038,-0.1249507620965031
Mauritania,-0.006090667420488162,-0.009657704203003497,0.011709476652884937,-0.03187583727039471,-0.010280961621136708,-0.004200480352200026,-0.014657017143182202,0.00043895740990865657
Mauritius,-0.012079240186960912,-0.013691707094180482,-0.0847296322344928,-0.06063503560979116,-0.0113938274424758,-0.014054780299737188,-0.08469768381922778,-0.059929600758094274
Mexico,0.001519260058355767,-0.017204316597514313,-0.017898761388993652,-0.02042354954218507,0.001749525003382504,-0.014962301168190554,-0.018659480770327776,-0.020912132720391212
Moldova,0.012363580244287844,-0.0016806170480408301,0.005855413320961016,0.008288864655790542,0.010498855409019939,0.0008179108826161049,0.005265947490232052,0.009809700319216038
Mongolia,0.002735912818607582,-0.005319212103931318,-0.007471405837949733,-0.005831138686323317,0.0014985528197139471,-0.003386614235978867,-0.005921492643620418,-0.003171156912238343
Montenegro,-0.020354206272466344,0.007872837963746205,0.00981481917740449,-0.0076998577330252655,-0.016789576358646266,0.007075166532860919,0.005586433477899173,-0.001571766193956381
Montserrat,0.01749003135643643,-0.016293776214713604,0.020040159068876875,-0.0005421227311009975,0.004056664346691001,0.0008613033765576886,0.015062652973986929,0.006879472811475982
Morocco,0.01061938411985494,0.005727197472359304,-0.04649479785774742,-0.0721081675978467,0.011476699134694728,0.005412189691358439,-0.04530442229812284,-0.07268210878750749
Namibia,-0.005101111062205586,-0.00833349370977369,0.02471389817970431,0.03581285485223286,-0.00853488868648431,-0.004696351130870305,0.03534534922110551,0.025381811559378662
Nepal,-0.01406750031733612,-0.017068635503869996,-0.021550063799292772,-0.037623024077494696,-0.015108795721619767,-0.01744981080118687,-0.023503777180640055,-0.0350060409444811
Netherlands,-0.010598173983974652,0.006861788648971869,-0.0017592946681397818,-0.007882820973151954,-0.009798224170681583,0.005769045841201544,-0.0033459305681328316,-0.006330022589796685
Netherlands Antilles,,,0.022348277906325213,0.06665491891893278,,,0.036150239853494144,0.05475887045639076
New Caledonia,0.01929176168268177,0.008815630155452859,0.012628431814792066,0.0032546533487960065,0.017641791431504347,0.010093759050201937,0.00842430416386672,0.00722285328166259
New Zealand,0.025067385000613746,0.008540000172574088,-0.00471015581438044,-0.0020879313955589535,0.026493658887727946,0.00699111762509154,-0.008929063333000985,0.0004378902355354256
Nicaragua,-0.007439356017581515,0.01008716368724753,-0.00012709651597549098,-0.011029672495364067,-0.006409256244000109,0.009148958839807184,-0.003213268024044445,-0.008079540377634321
Niger,-0.018671627853252423,-0.022063484998526155,0.024769750385848565,0.04793279556214928,-0.01758988473212544,-0.021971705143871364,0.02677444323517517,0.04332705003043367
Nigeria,-0.005251855615010952,0.0067712030891845885,-0.03405131064856511,-0.03247896659174957,-0.012113137057855366,0.007278655329530872,-0.03718593997218549,-0.029362629720224496
Norway,-0.026780016868821782,-0.009787291147124143,-0.030679754238039716,-0.0449514061353183,-0.029975731989435376,-0.0063927207448674275,-0.03281796116687939,-0.04223695923738728
Oman,0.021352692860917417,0.022182341630145843,-0.026074332483251705,-0.0327185364883135,0.023732713764361254,0.02080241566980341,-0.023876147182931778,-0.03412256359532005
Pakistan,0.020195514624890998,0.016741386113024215,0.01039557304634264,0.004860295061070376,0.020792780031585974,0.01777639661225958,0.010747458299816763,0.0028083627371977707
Panama,-0.02148905620928258,-0.01409251366679499,-0.07354542799357248,-0.035531601412286035,-0.024898992480065954,-0.010721236752683504,-0.07112568218989672,-0.038754075537050355
Papua New Guinea,0.03514519593877488,-0.02829286848501411,0.01259812746673241,0.06967511270006164,0.040169283029868844,-0.025726904850559926,0.01541566023862964,0.06350038052690923
Paraguay,-0.010098152927402394,0.021162976709424776,0.020920094812676673,0.01863340958051418,-0.006993406591615522,0.017304367034565532,0.022120004103949865,0.017627353061329027
Peru,0.014475648011527334,0.015592432786078183,0.008239058520828107,0.020410046231646498,0.015244197912198148,0.015929805791090684,0.012020341867930905,0.01602966624497944
Philippines,0.0036979118937408737,-0.01323484380445689,0.0033320940692609857,-0.0015913333380887674,0.0014793465314668376,-0.00978840671982319,0.001603359630606749,-0.0006138471823766237
Poland,-0.009949628449795906,-0.008257496553752807,-0.006825163318811529,-0.018574770141048934,-0.0061774634994500146,-0.00901715062890361,-0.010297421521305826,-0.014705398602890296
Portugal,-0.014139616520274288,-0.010491157966282201,0.012136985573112227,0.008867510135608579,-0.012103632033841369,-0.011493093434833212,0.009418973280501935,0.009815302779715861
Qatar,0.015415222472803655,0.01977276955161393,0.01436285380015446,0.09947564099648136,0.01634948121572573,0.018959560095087494,0.014674001650343431,0.09312555352909326
Romania,-0.02645754891194862,-0.022717454050869355,0.01938744212548687,0.023641679193039562,-0.02748041562177706,-0.021381825405359583,0.019960424888566777,0.020702080116275293
Russia,-0.0026416447172642856,0.007262789782125783,-0.005362482330511839,0.004318081420667489,-0.0016476023384935454,0.007598235437781535,-0.005259434204396662,0.002426336866522529
Rwanda,0.009201384545184816,0.017232520060231182,0.028972278525951578,0.06635228490461746,0.009953642480136063,0.016377477041346927,0.029496098086188232,0.07687520296148403
Réunion,-0.13608570474924914,-0.2259395294983153,0.05502309583957439,0.02137128135330829,-0.1589204082002789,-0.1955567719980555,0.06333921180210807,0.015042243531350138
Sao Tome and Principe,-0.020409468856532484,-0.04948616039420389,0.01282397006267897,0.12160008616279849,-0.026620120487908783,-0.041190308074038506,-0.04457646117290841,0.05672592777994458
Saudi Arabia,0.022285680361503208,0.047870005403830976,0.026617339699446747,-0.0002491883403656731,0.02549040727948734,0.04448775224485964,0.029942962768565184,-0.0003585901716332203
Senegal,-0.0414534366084936,-0.018491896312513304,0.0837391805991588,0.09067178679119901,-0.038213723272572456,-0.020107477369689077,0.09455179822277648,0.08139214270196359
Serbia,-0.022442074240002465,0.00801576044981797,0.007973916724966962,0.014612434160154552,-0.02035069525687112,0.010270616894732302,0.011369500075881677,0.010721994632765484
Serbia and Montenegro,0.06575219989075456,0.0335650689252638,0.001521105458312287,0.007222717159914487,0.0615519619455247,0.03591388538412651,0.003935011311398135,0.003409290225150266
Seychelles,0.02656793845985868,0.035998454565323336,0.0,0.0,0.03730348744217234,0.025343954525437622,0.0,0.0
Sierra Leone,0.025200877543144585,-0.00033999363543833067,-0.015912625390927977,-0.09491383415295417,0.030610957647242962,0.000166237476714975,-0.02139900254269251,-0.08060818978886114
Singapore,-0.011059291160981977,-0.005202691313026595,0.005586861712975919,-0.014210987192434998,-0.011292786936329312,-0.005449897815314306,0.002879268169194737,-0.010803668570391441
Slovakia,-0.0485826510899997,-0.05023815792841615,-0.002024463035117527,-0.0027732748127893806,-0.05005649891072137,-0.048976502984120686,-0.0021802589920688806,-0.002621031507302389
Slovenia,0.023737455378774856,0.02036227141198382,0.001329600691981752,-0.00335284945700701,0.027001573106453052,0.01584957299262716,-0.0008765672837215099,-0.0019266175970399325
Solomon Islands,0.04163317263123944,0.0302791150079757,0.06462093590197096,-0.02631647560987138,0.0417235903063468,0.03400141555905083,0.019152230146049803,0.019152230146049803
