,af_in_pr,af_in_vl,af_ex_pr,af_ex_vl,af_in_pr2,af_in_vl2,af_ex_pr2,af_ex_vl2
El Salvador,-0.013765799880488894,-0.012116827624917037,-0.0032370677125462743,0.010742672981416285,-0.0129008068487026,-0.010434102553112666,-0.003485864309562498,0.013215884706658947
Estonia,-0.01736079092360635,-0.021692902244103626,-0.007694279925771438,-0.023667685053297065,-0.01542077737741961,-0.020342753857382278,-0.010373578747446497,-0.021278338414350725
Eswatini,-0.021627606467792243,0.009122889479371786,0.06103400942471063,-0.0035254868239096787,-0.0210377647599783,0.005816389000862946,0.10842613376916635,-0.0021007076954157014
Ethiopia,0.01737928689907653,-0.012784288655771468,-0.012036653457704804,-0.015106306591638604,0.009479192930711101,-0.0024260192947454205,-0.016578514045089757,-0.010781552245101805
Ethiopia PDR,-0.15353400898989195,-0.14184766452525818,0.04923460528465706,0.06686551024002742,-0.12772437251394736,-0.17568848175435603,0.06359213734514989,0.04761861168874774
Faroe Islands,-0.06610382114155137,-0.038694545659511345,,,-0.06192734252286325,-0.04508273258621556,,
Fiji,0.013025136098110474,-0.026032872264311405,0.01519270499361972,-0.00814380661013585,0.00869656027091583,-0.02256913781376315,0.012145217336056216,-0.006662870078140639
Finland,0.007578770902041962,0.0032673528493504488,0.04000082180786255,0.04911375681719235,0.009425972107158898,0.002324396662593398,0.03868755613991511,0.04873060290907417
France,0.01565391476297545,0.013812595724025833,0.017690799726046903,0.051840794509791156,0.016248213967335137,0.014100317954077997,0.01755290169448001,0.05036676676141889
French Guiana,0.0009660878083372666,-0.007677179016708058,0.024078173794513043,-0.021665550514164255,0.0039007972778799726,-0.007316973522608243,0.0038603365558068496,-0.002826319665781236
French Polynesia,0.00021567324888375908,0.014419044358833498,,,0.0009939494755302827,0.015527379448764034,,
Gabon,-0.04067612402038267,-0.03401320845409639,0.13084552929787363,0.17184998030914894,-0.04211743359735239,-0.035335294435645245,0.13842541139458633,0.16187767099902903
"Gambia, The",0.10687306979284401,0.10604588147918922,-0.11086180308264107,-0.08560574211963867,0.09308525104890285,0.10184608349549164,-0.08889945268589658,-0.10088562411767912
Georgia,0.0017688252920065942,0.0017114299146032625,0.1272936751038206,0.09967647409055698,-0.0030988338227253037,0.010473050896586449,0.12761530666074342,0.10048553868119627
Germany,-0.023279255226769012,-0.025246382313790745,0.02581297610549156,0.02095977887443493,-0.025601426317445823,-0.022048460077523528,0.02634596890020943,0.021617210129602344
Ghana,0.0016241992117103185,0.01011465489235474,-0.07159718538700637,-0.015107737452117756,0.0006250090719953453,0.012373823973903565,-0.06726996873925131,-0.020371520197331634
Greece,0.014487646270300738,0.0003319880099959332,0.029239033484650206,0.00801616002933617,0.013737078124195385,-0.00020968493237667684,0.02511626396488633,0.012765701058167381
Greenland,0.04806189669630785,0.01553180431858401,0.023888821597394406,0.03585564427878784,0.054285698409794775,0.016960081182665697,0.03596689715282427,0.024641261094355736
Grenada,-0.09074260642090391,-0.013043338097191874,0.08958049179525318,0.2579321582959268,-0.06932518995753267,-0.030215180426163654,0.10103994881840683,0.24169260435023335
Guadeloupe,-0.018558660225299967,0.012016708084860597,0.08062837746170244,0.10471198483179482,-0.008637221942138328,0.0018994363426503569,0.07204425968622792,0.11850571626074302
Guatemala,0.029315921491586832,0.026585243107450786,-0.024605017405905677,0.004345851245287494,0.027211031700189785,0.032440274437955614,-0.023964061483477257,0.001925741779804391
Guinea,0.07362212727973913,0.0296421751551184,0.016244059664545323,-0.06270241409572058,0.0892162827279901,0.024524363456611863,-0.00839904162958832,-0.03699320023662785
Guyana,-0.018420911839223494,-0.024242808167205254,0.017820574597221816,0.05370877945358487,-0.014030416666511903,-0.02173286768787252,0.006867678034067684,0.0668719499877017
Honduras,0.009962666223608736,0.010946248508872094,0.014513536040160162,0.04681641890335577,0.011535920127630684,0.01334529839249002,0.011902706068032403,0.04767274229674262
Hungary,0.00029484570106741795,0.003156236369918547,0.035808452391945786,0.04124667782592573,0.000713416880091444,0.003436793945492201,0.03557926690547339,0.041490134299191114
Iceland,0.01238765984575614,-0.00443798963398036,0.044997463213564286,0.05849054387244514,0.014601195589219908,-0.006422782488511202,0.022974595688698574,0.05989239199199738
India,0.014737607786502793,0.021110848966552066,0.03209484689345017,0.011879269507967624,0.014689815492027991,0.020771199793563865,0.031265868400589855,0.012393543101816883
Indonesia,0.017654343714038845,0.00870185372466365,-0.004375928446672002,0.005920064127570542,0.015264134043861167,0.011863546641769366,-0.003330195271499249,0.003947442436076056
"Iran, Islamic Rep.",0.10183986277079264,0.1759904662176349,0.011774612752703117,0.025723553661850463,0.15202426615952555,0.13284476767096917,0.012151709783201016,0.026546546008070396
Ireland,0.011685015620219043,0.001855026467126837,-0.004743352217172575,-0.02415201646095512,0.0049269595717842925,0.007855590146326396,-0.01681261445905972,-0.01852714795051744
Israel,0.019933515863351597,0.040570252355011396,0.05811696522755295,0.06348199079220257,0.027644000467456614,0.03582641950452399,0.058203352172018503,0.06071708899140818
Italy,-0.008342049154426344,-0.04172787313473405,-0.010120387577024593,-0.00796093576366107,-0.008249277361935677,-0.04080387697732673,-0.010943979901321227,-0.007440798704154989
Jamaica,-0.004554847406013766,-0.07134393051625008,-0.04192578117982149,-0.03345945420076268,0.010596316393580902,-0.056055412343134915,-0.040914146519847906,-0.033253635134991986
Japan,-0.03060326978643534,-0.02627034505982073,0.002195842974115288,0.010080265465244664,-0.02847660130264216,-0.02560921305087428,0.0029772529195350173,0.0097331708342153
Jordan,-0.0035395024083277908,0.015855925487367147,-0.10386950394890287,-0.08685481270813339,-0.0018017904284653114,0.016778139190423022,-0.09858133899765989,-0.09010107872272217
Kazakhstan,0.04172504114517529,0.007479642259118139,0.056739951735726456,0.03733434075241929,0.0248028345777781,0.023001172667732554,0.05466751649702356,0.03881937951804653
Kenya,-0.02657163603791497,9.835048427239218e-05,-0.012409694137219257,-0.008799784926351792,-0.023056237843753942,-0.0018237572044670274,-0.01210718069248181,-0.012774736533741431
Kiribati,0.2199981739352907,0.09426067893017688,,,0.15878700934646164,0.12342815689196497,,
"Korea, Rep.",-0.0022271223894833286,0.0050765841552612555,-0.012011522815130092,0.00872006308879026,-0.004538238334653511,0.008028153660714764,-0.012192435621019373,0.009280132222444375
Kuwait,0.022135920697694624,0.0664875264079011,-0.03922955623533595,-0.03927010535798654,0.014961904267543081,0.06343047306102519,-0.047898663326196474,-0.031047905419504054
Kyrgyz Republic,0.0030525380665794577,-0.026459150445748935,0.05684141505205087,0.02606028743617045,-0.004962277369210174,-0.01706654522331636,0.045430664388499256,0.03283199944162968
Latvia,-0.05147772159121882,-0.07369001725470163,-0.017938529748204344,-0.021277946668477526,-0.054090748612326454,-0.06846678561207595,-0.019266253368214463,-0.02089146081020596
Lebanon,0.03925112032379711,0.0023654432161396522,0.0014398495591020153,-0.00399996981379902,0.03670525287683768,0.009253414530820127,0.0034932205518498436,-0.007101403170737708
Libya,0.059709544281267596,0.07472438351543703,0.03067784226934067,0.04114983414379674,0.053144859534099295,0.08612086290236992,0.030422213384615548,0.04148122600063566
Lithuania,-0.0560810934270771,-0.05804437460445033,-0.002370244567883265,-0.005121767757857278,-0.05285819721755659,-0.05776570729386545,-0.0059793284171229194,-0.001774529388359605
Luxembourg,-0.042639991088493576,-0.07502659589550577,-0.005823811445882779,0.004359253896209608,-0.040309617101800366,-0.06965840476999459,-0.017067362550933968,0.009838045274191857
Madagascar,0.06667456941076226,0.08109357214417463,-0.024300276028795822,0.02138001851792495,0.07018956487621955,0.07874751038493889,-0.030826800832292403,0.02725665801518943
Malawi,-0.00280802120657101,0.008299078382480271,-0.0199870173178933,-0.0008960880537329313,0.007737885974348051,0.01004526905738709,-0.014500179419601501,-0.007890889189449982
Malaysia,0.015514758615101232,0.01981874275844021,-0.00534118480571761,-0.020498347028933887,0.016089855953665015,0.019238513798160987,-0.005478061594337391,-0.020894060018532577
