,gdp_af_in_pr,gdp_af_in_vl,gdp_af_ex_pr,gdp_af_ex_vl,gdp_af_in_pr2,gdp_af_in_vl2,gdp_af_ex_pr2,gdp_af_ex_vl2,pop_af_in_pr,pop_af_in_vl,pop_af_ex_pr,pop_af_ex_vl,pop_af_in_pr2,pop_af_in_vl2,pop_af_ex_pr2,pop_af_ex_vl2
Croatia,-0.0037162637125290865,0.0035765573843524177,0.018056726968219892,0.04304122984866901,-0.004099072724508734,0.002471007154924961,0.02250570292296374,0.03747597971981168,-0.0037522193314489718,0.011395489969940654,0.03619932663296763,0.07261106306900882,-0.002012762088250261,0.008773545736214139,0.041856434427452086,0.06723140461530948
Cuba,0.015001694084316152,0.038624510571363915,0.06636487176186119,0.01952086054687542,0.0323342469328111,0.02680373914578503,0.042942866154368306,0.042942866154368306,0.03447738383218257,0.09108074641938063,0.06394989709942937,-0.017575793858110693,0.06272431561406061,0.0660571356813662,0.023187051620659337,0.023187051620659337
Cyprus,0.0045298086455469785,-0.017406362575345922,0.00827617627207607,0.01813875392408073,0.0041048401846480636,-0.014200172082582377,0.010945557809662979,0.015934695044445855,0.004827644639860005,-0.025599127984373797,0.007079030720177284,0.028394037498943817,0.0045615460665696375,-0.02215402944302119,0.014226695373427195,0.02141751064634402
Czech Republic,-0.00840029777623052,-0.018512445930678974,0.004480847239612525,0.0010140638535528614,-0.007761439390522546,-0.01729291104571253,0.00642530221092459,0.00069552731334184,-0.020406534157920476,-0.03383338612677846,0.009706959100226923,0.005246313959335684,-0.018220930205183342,-0.03417164717767057,0.010899844582696556,0.004400660554289127
Democratic Republic of the Congo,0.04578359937009362,-0.012296618104630347,,,0.025504256251969375,0.015002601650565153,,,0.1031222238017353,-0.05591358934788705,,,0.05060161131737264,0.015350587684393563,,
Denmark,-0.01714254597952891,-0.02279075140238592,-0.014426394719812975,-0.022216104219363226,-0.01965415782563977,-0.019855467451342184,-0.016024381273002725,-0.020790974777072754,-0.027172069886781655,-0.031015542536112786,-0.023522363286509317,-0.028290801211628934,-0.029932854334078968,-0.027817521932213318,-0.02430547487431993,-0.02780348360052469
Djibouti,-0.024622217435551756,0.057793527537541724,-0.07928662910400092,-0.06985261932104082,-0.024697371898710734,0.06814255241979783,-0.07662695928564063,-0.07406934123505406,-0.040182537465624016,0.020225247260771847,-0.09883695648061507,-0.07415538843969521,-0.04700374177580352,0.03992941055503964,-0.09333173033071894,-0.08157186899147142
Dominica,-0.014119129552290171,-0.03687668814839726,0.044719019689601604,0.05279376193642841,-0.006758648893437529,-0.031208357368997252,0.04548666455810341,0.04974241805194227,-0.026561487388468738,-0.026199753002172737,0.1455783326175956,0.17466512908805942,-0.017756985855041648,-0.027760768914618848,0.14967860631024765,0.1643516272056749
Ecuador,0.022404308850246135,0.013769802992115571,0.001917189571149176,0.007292471481870875,0.022787110804260335,0.014436945446689543,0.0010599619670230759,0.005819752627733537,0.02139125625704662,0.010267532289268336,-0.000565538355144225,0.00616616108366103,0.02201811520737681,0.011227501362771033,0.0008237722254110727,0.003911777861679143
"Egypt, Arab Rep.",-0.021840642211416274,-0.027058231773207656,0.015447735555452227,0.0018702119355923493,-0.02677320265514532,-0.022227467010664446,0.01742662994325436,0.0016448543540823883,-0.02726290951974373,-0.03416277857846221,0.02280409099314077,0.0010332275071620353,-0.030947589712203568,-0.030082113672917344,0.025412968836841496,0.0004590180940074299
El Salvador,0.0019513629799657402,-2.295339453966844e-05,-0.017828403147748237,0.006596501050415756,0.0050152654970007995,-0.0010016294948404618,-0.017382516112178285,0.005129948663876874,-0.005348938135820598,-0.004999800790798572,-0.011985304744786141,0.010676340459278226,-3.386502513635434e-05,-0.00685431446762503,-0.013257831775498974,0.011524471290170193
