name,af_in_pr,af_in_vl,af_ex_pr,af_ex_vl,af_in_pr2,af_in_vl2,af_ex_pr2,af_ex_vl2
"Gambia, The",0.07264684181262486,0.09853097749174253,-0.06035728039326103,-0.11489867218930455,0.08983716190328697,0.10030940732963599,-0.08466966267004357,-0.09715635023670977
Georgia,-0.009292966403877629,0.019558165320218316,0.12148890387474752,0.102681951344744,-0.0034456954191598053,0.00942358489532123,0.1252763246698712,0.09853672420710087
Germany,-0.027325762253068875,-0.01882831749069868,0.025757555780330427,0.022554207777550864,-0.02531861647371125,-0.02191866082274154,0.02589094110352363,0.021147291984762225
Ghana,-0.0005697414054290928,0.014904208328974069,-0.05993326296428935,-0.025016446270895512,0.000507549644510132,0.011930040166601508,-0.06537848085082522,-0.019356140881688483
Greece,0.012434512609475009,-0.0007002189184531975,0.01960869400100636,0.01713248555235079,0.013358323038647013,-0.00014498419570661725,0.024120272888715228,0.011984851988091865
Greenland,0.059525236561164235,0.01750303941522732,0.046472338267031565,0.016314696370752866,0.053812313093880126,0.016365067601588144,0.03685563882382899,0.0256167125934477
Grenada,-0.041908368745267335,-0.045729901504449375,0.10937059310388866,0.2284182934233077,-0.06559897776614153,-0.027681813586096712,0.10035216665391003,0.2387793734762731
Guadeloupe,0.001937880665004067,-0.005349355710510817,0.062667562732964,0.12685299544601314,-0.007197247023230903,0.003223865492712375,0.06910219764687213,0.11405695869891745
Guatemala,0.024038489206950384,0.037589968966069184,-0.022231320855352947,-8.594718493417863e-06,0.026374745572623936,0.031110458606487614,-0.023412694166739717,0.002188223994030217
Guinea,0.1048286213433534,0.01941806918657224,-0.034764599648551865,-0.015436800505649906,0.08888421890050938,0.02454058423072776,-0.011158533093244856,-0.039323138751344834
Guyana,-0.007726508361475546,-0.02003403643034059,-0.005734505524011415,0.07803385688060775,-0.013382010462747026,-0.021642496540099025,0.005499680248619322,0.06395435385234324
Honduras,0.012192369528737215,0.0162046090091696,0.007932932811058916,0.04831455045295222,0.011583015415165494,0.0128909298312642,0.011457379022999831,0.046594223384544865
Hungary,0.0012101117155776796,0.003647639001853739,0.033993645330363885,0.041674286781418345,0.0007370637206964048,0.0033305159936788988,0.03481353148023095,0.040617268744151856
Iceland,0.016868053987719348,-0.008412250026072142,-0.002705902441485927,0.06394016093702938,0.014493859889553975,-0.006094533622380543,0.02003323369646208,0.058861183025400776
India,0.013933224637989064,0.020511666604706203,0.029313606190021282,0.012558728457841124,0.014403932781127931,0.02039381901779172,0.030498736586893862,0.012048121779620386
Indonesia,0.01232114680802623,0.014398935343835462,-0.0020308396290003865,0.0020513241818048136,0.014627378915377406,0.011230093045617656,-0.003143366452116469,0.00407412931683451
Iran,0.2055719653820868,0.09131753758645664,0.012113241413291304,0.02731155074451259,0.15404630970736016,0.1346660492178092,0.011942768705159488,0.025918852234684927
Ireland,-0.002876907565080593,0.013595259293290491,-0.029451894190961943,-0.01370815924060842,0.0040689449846905215,0.007064022228865001,-0.017867564755113502,-0.018812805895028786
Israel,0.0355290378636228,0.0314171994102877,0.05629397346100053,0.057951181666241615,0.027895000409032904,0.035615555154817194,0.056975682212715324,0.059762508724435164
Italy,-0.007948640394041456,-0.03964586984928205,-0.011241016418440651,-0.007026549501732879,-0.008049235134717609,-0.04004038111945055,-0.010844539910285974,-0.007354915407628271
Jamaica,0.026298616833927986,-0.041306153940544835,-0.03737854094522591,-0.03345698441074085,0.012229298401392157,-0.05651446439520553,-0.04009051708220489,-0.032649992424627176
Japan,-0.024879153402589442,-0.025084478389429142,0.003705771818399434,0.009395274958714677,-0.02766869077821478,-0.025172782681785303,0.003009394488194638,0.009571673938165343
Jordan,0.0004330995553243944,0.01720693461464038,-0.08876267801579457,-0.09241925598749766,-0.0016037445169230873,0.0162853555120302,-0.09596837082478704,-0.08783592330163452
Kazakhstan,0.004162831804403408,0.037691608032987454,0.05030563195343949,0.0399265846111868,0.022497643272186185,0.020880175507384403,0.05329635390224256,0.037837500863509684
Kenya,-0.017629736333864755,-0.004261764669024926,-0.01075146286001235,-0.016777220250737256,-0.022281122428053964,-0.0016575227119939619,-0.011912598456189187,-0.012121360689318204
Kiribati,0.08438124244126945,0.14987642876491095,,,0.1485539963717898,0.11767472618361816,,
Kuwait,0.006642800834705991,0.06017742200700594,-0.05592420629953493,-0.02346977814874919,0.013795554619561841,0.0624262718608185,-0.04786540623874222,-0.031319792331929115
Kyrgyzstan,-0.014955646661562154,-0.006578982639880563,0.030910348940378893,0.0380365860816095,-0.005570415935781799,-0.017526446826048644,0.04320337404628402,0.031297176023946015
Latvia,-0.05486315395487546,-0.0636233129848631,-0.01923837858893684,-0.021686069206116088,-0.05328296101152179,-0.06764758861780565,-0.0191443663455816,-0.02065091152239652
Lebanon,0.03332845494330236,0.01448470185465116,0.005817261641662595,-0.010033201359708052,0.03551746696859278,0.008174091972751703,0.0036276150322362218,-0.0066263597146954895
Libya,0.04343845702378928,0.09657064118136237,0.029449427225402936,0.04120567673580925,0.05135752770537695,0.08311865323019357,0.029687944354565336,0.040532799393269085
Lithuania,-0.04679897884721285,-0.057937130540639224,-0.009704699348263004,0.0013739468063995448,-0.051471713349842206,-0.05667734739589812,-0.006278010468045196,-0.00209775871077632
Luxembourg,-0.035882048182867145,-0.06411903392408129,-0.02977302937324135,0.015637389296608312,-0.039258515028668686,-0.06876220381388551,-0.017861786067604437,0.009129563801778193
Madagascar,0.07061913673535104,0.07698227532471331,-0.037063536029048536,0.03256642213808885,0.0692705846339667,0.07745655953883135,-0.030910715332116832,0.026046709034739192
Malawi,0.01930366528236504,0.011812000583849508,-0.008048832827933634,-0.013674372862508288,0.008761848259759964,0.009669383594810798,-0.013540444198547816,-0.006882945873649157
Malaysia,0.01641906883255946,0.018245713540414783,-0.005652688001604506,-0.020989903544956463,0.015773994215901824,0.01885605535512953,-0.005343064968220245,-0.020394160897876483
Maldives,0.08583334021753328,0.07906717619434879,-0.14773033932179486,0.008151345472320961,0.08407094841807647,0.07977878145020016,-0.07244693130084896,-0.05973643847340303
Mali,0.03788566792809741,0.0015322558458434258,-0.02571112833993214,-0.08383603289695958,0.03227098007363394,0.005935393515867551,-0.024830670031000767,-0.07926236884943559
Malta,-0.010431420298794174,-0.005749660834526744,0.009426504025297421,-0.057352595925307885,-0.016354980199116166,-0.003610157478386547,0.014242744497147884,-0.04202597122464108
Martinique,0.009011566285199892,0.01207675373710617,-0.12161346219035644,-0.06680272481454823,0.010781995558626736,0.012146835148196972,-0.1003470067079703,-0.08568302938444693
Mauritania,-0.03751337076914263,-0.007838190596012175,-0.12084934041916527,0.062017877280583486,-0.030943060639600763,-0.02101049335029721,-0.05618594439618703,-0.016599407846394548
Mauritius,-0.00988861905811394,-0.022193036024313217,-0.1238831815078102,-0.09962396057212124,-0.013708091370974172,-0.01955404330136548,-0.13081289285487568,-0.10022951598343327
Mexico,-0.0065292603924440185,-0.029775666211583094,-0.01092298119981386,-0.02712746873006032,-0.009377560889114138,-0.03095281121780964,-0.015046860604752594,-0.020954975639965883
Mongolia,0.0007912244615867608,-0.0091150299549486,-0.018508536739328164,-0.018667077060257633,0.001785434067735128,-0.011731044046210923,-0.024164306446868025,-0.01548270820798559
Montenegro,-0.030081086176432133,0.021165880415132683,0.025863497249985132,0.00927835347020616,-0.03862550451066008,0.023510842396124484,0.026843562770398836,0.0014579768384788325
Montserrat,-0.06265929633482482,0.020825343784470932,0.008152377650250635,0.005916322101711732,-0.01930801510171953,-0.03319506001677658,0.00976056289192519,-0.0021975163948777686
Morocco,0.0020600480584399765,0.002085784996589107,-0.026230360058897357,-0.07772646017386738,0.005501587205723279,5.229728185962568e-05,-0.03480710814135685,-0.0661247796191025
Namibia,-0.028967672384021582,-0.0019708150160397987,0.06739064163348718,0.0483500459803153,-0.02089847888208458,-0.007875313025001334,0.059557277279880375,0.0580856136784489
Nepal,-0.04913843761088098,-0.04914766564934827,-0.023571892652435405,-0.04285700401102759,-0.044725077539600484,-0.04878055343642648,-0.023079707901749763,-0.045496369299365486
Netherlands,-0.0098053847900844,0.005286480737895056,-0.00814024391392589,-0.010792029285041142,-0.01268467900386202,0.006601539003124542,-0.0071109053921278795,-0.012343932423380184
Netherlands Antilles,,,0.08019013011761827,0.09676513053844796,,,0.07156260031639228,0.1023448339591535
New Caledonia,0.04281637559662016,0.02697441068892713,-0.01426100421458298,0.02354590372103658,0.04478337885950725,0.026819658091029708,0.006215966048142974,0.003815264387976364
New Zealand,0.03142836956817678,0.009229086390381731,-0.02026342633059644,0.011118245569427095,0.03511776044568763,0.008130111054388548,-0.012548439781959679,0.005824376494004487
Nicaragua,-0.005508744133701799,0.016253177186584925,0.007713460657319409,0.008350832433130726,-0.009031352791216422,0.016556222268867563,0.010661508888673494,0.005411717067207725
Niger,-0.026288881359101263,-0.044606525931602914,0.04233912383144648,0.07728932836933687,-0.03238177687033133,-0.04137437041931884,0.04368544474229776,0.07720557302771162
